id,CPU (cores),Memory (GB),Executor,Arrival Time (T_A),Start Time (T_S),Finish Time (T_F),Waiting Time (T_W),Estimated Finish Time (T_est),Deadline Violation Time (T_D),Deadline Satisfied,Placement List
job-0,1,6,7,68,68,117,0,49,128,true,L-s-0 L-s-0 L-m-0 L-m-0 L-m-0 L-m-0 L-m-0 
job-2,4,4,6,171,171,204,0,33,437,true,L-s-0 L-m-0 L-m-0 C-s-0 C-s-1 C-s-2 
job-3,4,6,8,228,228,314,0,86,555,true,L-s-0 L-m-0 L-m-0 C-s-0 C-s-1 C-s-2 C-m-0 C-m-0 
job-6,4,4,2,395,395,460,0,65,654,true,C-m-0 C-l-0 
job-4,2,7,5,285,285,464,0,179,666,true,C-m-1 C-m-1 C-m-1 C-m-1 C-m-2 
job-5,4,11,8,338,338,614,0,276,804,true,C-m-2 L-s-0 L-m-0 L-m-0 C-s-0 C-s-1 C-s-2 C-m-0 
job-8,5,5,5,504,614,631,110,17,813,true,C-l-0 L-m-0 C-m-0 C-m-2 C-m-1 
job-1,6,7,2,112,112,752,0,640,997,true,L-l-0 L-l-0 
job-7,3,10,5,455,455,755,0,300,996,true,C-l-0 C-l-0 C-l-1 C-l-1 C-l-1 
job-11,5,10,2,667,755,777,88,22,938,true,L-l-0 C-l-0 
job-10,6,9,2,614,752,798,138,46,771,false,C-l-2 L-l-0 
job-13,3,12,5,780,780,815,0,35,938,true,C-l-1 C-l-1 L-s-0 C-s-0 C-s-1 
job-12,6,7,3,716,777,988,61,211,1174,true,L-l-0 C-l-0 C-l-1 
job-9,6,8,6,556,631,1084,75,453,1307,true,C-l-0 L-m-0 C-m-0 C-m-2 C-m-1 C-l-2 
job-14,6,4,7,832,1084,1186,252,102,1037,false,L-m-0 L-l-0 L-l-0 C-m-0 C-m-2 C-m-1 C-l-0 
job-17,2,4,7,976,1186,1201,210,15,1158,false,C-s-0 C-s-1 C-s-1 C-s-2 C-s-2 C-l-0 C-l-0 
job-18,1,7,4,1021,1186,1203,165,17,1126,false,L-m-0 C-m-0 C-m-2 C-m-1 
job-16,2,5,8,929,1186,1210,257,24,1230,true,L-m-0 L-l-0 C-m-0 C-m-2 C-m-1 L-s-0 L-s-0 C-s-0 
job-21,3,11,2,1159,1186,1236,27,50,1450,true,C-l-1 C-l-1 
job-19,5,9,2,1061,1186,1258,125,72,1395,true,C-l-0 C-l-2 
job-23,2,9,3,1258,1258,1290,0,32,1570,true,L-m-0 L-l-0 C-m-0 
job-15,5,9,6,877,1186,1308,309,122,1290,false,L-m-0 L-l-0 L-l-0 C-m-0 C-m-2 C-m-1 
job-22,4,7,3,1208,1208,1379,0,171,1423,true,C-l-0 C-l-1 C-s-1 
job-24,5,4,6,1317,1317,1425,0,108,1442,true,C-l-0 C-l-2 C-l-1 L-m-0 L-l-0 L-l-0 
job-20,1,8,7,1111,1186,1470,75,284,1606,true,C-l-0 C-l-0 C-l-0 C-l-2 C-l-2 C-l-2 C-l-2 
job-27,1,8,4,1478,1478,1527,0,49,1643,true,L-m-0 L-l-0 L-l-0 L-l-0 
job-29,2,7,4,1581,1581,1599,0,18,1609,true,L-m-0 L-l-0 L-l-0 L-l-0 
job-25,1,10,7,1374,1374,1615,0,241,1903,true,L-m-0 L-m-0 L-l-0 L-l-0 C-l-2 C-l-1 C-l-1 
job-30,4,9,5,1621,1621,1639,0,18,1685,true,L-m-0 L-l-0 L-l-0 C-l-1 C-l-0 
job-32,4,12,3,1725,1725,1744,0,19,1998,true,L-m-0 C-l-1 C-l-0 
job-31,6,8,1,1683,1683,1746,0,63,1790,true,L-l-0 
job-28,4,4,3,1518,1518,1814,0,296,2008,true,L-m-0 L-l-0 C-l-1 
job-26,3,12,3,1424,1424,1828,0,404,1843,true,C-l-0 C-l-1 L-s-0 
job-34,6,8,2,1839,1839,1879,0,40,2103,true,L-l-0 C-l-1 
job-35,3,11,7,1891,1891,1996,0,105,2059,true,L-l-0 L-l-0 C-m-0 C-m-2 C-m-1 C-l-1 C-l-1 
job-36,2,5,7,1942,1942,2011,0,69,2020,true,C-l-0 C-l-0 C-l-0 L-s-0 L-s-0 L-m-0 L-m-0 
job-37,5,10,3,1992,1996,2016,4,20,2264,true,L-l-0 C-l-1 C-l-2 
job-38,2,12,3,2042,2042,2063,0,21,2311,true,L-l-0 L-l-0 L-l-0 
job-33,5,11,6,1784,1784,2095,0,311,2152,true,L-l-0 C-l-1 C-l-0 C-m-0 C-m-2 C-m-1 
job-40,1,10,3,2125,2125,2160,0,35,2264,true,L-l-0 L-l-0 L-l-0 
job-39,1,6,1,2078,2078,2180,0,102,2403,true,L-l-0 
job-41,1,7,7,2172,2172,2306,0,134,2332,true,L-l-0 L-l-0 L-l-0 L-l-0 L-l-0 L-l-0 L-s-0 
job-43,4,5,5,2274,2274,2334,0,60,2453,true,L-l-0 C-s-1 C-s-0 C-s-2 C-m-1 
job-44,6,5,8,2318,2334,2352,16,18,2500,true,L-l-0 L-l-0 C-m-1 C-l-0 C-l-0 C-l-1 C-l-1 C-l-2 
job-46,5,9,1,2424,2424,2434,0,10,2648,true,C-m-1 
job-42,5,10,3,2224,2224,2474,0,250,2486,true,L-m-0 C-m-0 C-m-2 
job-45,2,12,8,2369,2369,2479,0,110,2595,true,L-m-0 C-m-0 C-m-2 L-s-0 L-l-0 L-l-0 L-l-0 L-l-0 
job-48,1,11,2,2513,2513,2552,0,39,2571,true,C-m-1 C-m-1 
job-47,6,7,7,2465,2465,2567,0,102,2624,true,C-m-1 C-l-0 C-l-0 C-l-1 C-l-1 C-l-2 C-l-2 
job-49,6,7,6,2555,2567,2590,12,23,2800,true,L-m-0 L-l-0 L-l-0 C-m-1 C-m-0 C-m-2 
job-50,4,6,1,2601,2601,2748,0,147,3034,true,L-s-0 
job-52,5,5,8,2707,2707,2750,0,43,2915,true,L-m-0 C-m-1 C-m-0 C-m-2 C-l-0 C-l-0 C-l-1 C-l-1 
job-53,5,10,5,2758,2758,2778,0,20,2932,true,C-m-1 C-m-0 C-m-2 C-l-0 C-l-0 
job-51,1,12,6,2656,2656,2779,0,123,2959,true,L-m-0 L-m-0 L-l-0 L-l-0 L-l-0 L-l-0 
job-54,6,8,6,2823,2823,2862,0,39,3059,true,L-m-0 L-l-0 L-l-0 C-m-1 C-m-0 C-m-2 
job-55,6,10,3,2867,2867,2891,0,24,2937,true,L-m-0 L-l-0 L-l-0 
job-56,4,11,3,2902,2902,2913,0,11,3133,true,L-s-0 L-m-0 L-m-0 
job-57,2,7,6,2932,2932,3028,0,96,3067,true,L-s-0 L-s-0 L-m-0 L-m-0 L-m-0 L-m-0 
job-58,3,8,8,2968,2968,3058,0,90,3100,true,L-l-0 L-l-0 L-l-0 L-l-0 C-s-1 C-s-0 C-s-2 C-m-1 
job-60,6,10,8,3071,3071,3216,0,145,3355,true,L-m-0 L-l-0 L-l-0 C-m-1 C-l-0 C-l-0 C-l-1 C-l-1 
job-59,6,11,2,3010,3010,3237,0,227,3446,true,C-m-0 C-m-2 
job-61,2,8,3,3117,3117,3290,0,173,3432,true,L-m-0 C-m-0 C-m-2 
job-64,3,6,8,3265,3265,3297,0,32,3368,true,C-m-1 C-m-0 C-m-0 C-m-2 C-m-2 L-s-0 C-s-1 C-s-0 
job-62,5,6,5,3162,3216,3308,54,92,3438,true,L-m-0 L-l-0 L-l-0 C-m-1 C-l-0 
job-66,3,11,6,3349,3349,3379,0,30,3648,true,C-m-0 C-l-0 C-l-0 L-s-0 L-m-0 L-m-0 
job-67,3,4,1,3409,3409,3523,0,114,3791,true,C-m-0 
job-69,1,11,4,3514,3514,3557,0,43,3625,true,L-s-0 L-m-0 L-m-0 L-l-0 
job-63,5,10,3,3213,3216,3567,3,351,3841,true,C-l-0 C-l-1 C-l-1 
job-70,6,7,7,3564,3564,3584,0,20,3700,true,L-m-0 L-l-0 L-l-0 C-m-1 C-m-2 C-l-2 C-l-2 
job-68,2,11,4,3458,3458,3586,0,128,3749,true,C-l-1 C-l-0 C-l-0 C-l-0 
job-65,5,4,1,3305,3305,3611,0,306,3866,true,C-m-0 
job-71,1,6,4,3606,3606,3661,0,55,3709,true,C-m-0 C-m-0 C-m-0 L-s-0 
job-73,2,8,5,3698,3698,3820,0,122,4024,true,L-m-0 L-l-0 L-l-0 L-l-0 L-s-0 
job-75,1,12,1,3799,3799,3873,0,74,4172,true,C-m-0 
job-74,3,7,8,3745,3745,3907,0,162,4097,true,C-s-1 C-s-0 C-s-2 C-m-0 C-m-0 C-m-1 C-m-1 C-m-2 
job-76,6,4,4,3851,3851,3925,0,74,4140,true,L-l-0 C-l-0 C-l-0 C-l-1 
job-77,6,8,1,3900,3900,3934,0,34,3966,true,C-l-1 
job-72,6,8,2,3649,3649,3944,0,295,4055,true,L-m-0 L-l-0 
job-80,3,11,5,4028,4028,4084,0,56,4288,true,L-l-0 C-m-0 C-m-1 C-m-2 C-l-1 
job-81,2,9,2,4065,4065,4108,0,43,4188,true,C-l-0 L-m-0 
job-82,3,8,5,4110,4110,4130,0,20,4140,true,L-l-0 C-m-0 C-m-1 C-m-2 C-l-1 
job-78,5,9,7,3936,3936,4283,0,347,4359,true,L-l-0 C-m-0 C-m-1 C-m-2 C-l-0 C-l-0 C-l-1 
job-79,4,5,3,3976,3976,4362,0,386,4539,true,L-l-0 C-l-1 L-s-0 
job-87,4,11,1,4363,4363,4394,0,31,4608,true,C-l-2 
job-83,5,5,6,4161,4283,4414,122,131,4404,false,L-l-0 C-l-1 L-m-0 C-m-0 C-m-1 C-m-2 
job-85,2,11,3,4259,4283,4433,24,150,4699,true,L-l-0 C-m-0 C-m-1 
job-88,3,7,2,4413,4413,4449,0,36,4559,true,C-m-2 C-l-2 
job-90,1,9,5,4499,4499,4527,0,28,4531,true,L-l-0 C-l-0 C-l-0 C-l-1 C-l-1 
job-84,1,5,2,4205,4283,4583,78,300,4552,false,L-m-0 L-m-0 
job-89,3,11,4,4458,4458,4586,0,128,4742,true,L-m-0 L-m-0 L-l-0 L-l-0 
job-91,5,7,4,4544,4544,4618,0,74,4883,true,C-l-1 C-l-2 C-m-0 C-m-1 
job-92,5,10,1,4596,4596,4657,0,61,4871,true,L-l-0 
job-93,6,12,6,4647,4647,4665,0,18,4875,true,C-l-1 C-l-2 L-m-0 C-m-0 C-m-1 C-m-2 
job-86,5,10,5,4310,4362,4762,52,400,4718,false,L-l-0 C-l-1 C-l-0 C-l-0 C-l-2 
job-95,1,6,6,4757,4762,4782,5,20,4938,true,L-m-0 L-m-0 L-m-0 L-l-0 L-l-0 C-m-0 
job-94,5,4,8,4699,4762,4789,63,27,4971,true,L-m-0 L-l-0 L-l-0 C-m-0 C-m-1 C-m-2 C-l-0 C-l-0 
job-96,3,7,7,4804,4804,4883,0,79,4941,true,L-s-0 L-m-0 L-m-0 L-l-0 L-l-0 L-l-0 L-l-0 
job-98,4,10,6,4912,4912,4942,0,30,4987,true,L-m-0 L-s-0 L-l-0 L-l-0 L-l-0 C-s-0 
job-99,3,12,5,4959,4959,4977,0,18,5128,true,L-m-0 L-s-0 L-l-0 L-l-0 L-l-0 
job-100,5,9,3,5012,5012,5041,0,29,5073,true,L-m-0 L-l-0 L-l-0 
job-97,2,12,2,4857,4857,5098,0,241,5126,true,L-m-0 C-s-1 
job-102,1,10,2,5117,5117,5129,0,12,5355,true,L-m-0 L-l-0 
job-101,2,10,6,5064,5064,5194,0,130,5341,true,L-m-0 L-m-0 L-s-0 L-l-0 L-l-0 L-l-0 
job-103,4,8,5,5170,5170,5274,0,104,5289,true,L-m-0 L-l-0 C-s-1 C-s-0 C-s-2 
job-105,4,6,6,5282,5282,5298,0,16,5514,true,L-m-0 L-l-0 L-l-0 C-s-1 C-s-0 C-s-2 
job-106,6,10,5,5326,5326,5347,0,21,5619,true,L-m-0 L-l-0 C-m-0 C-m-1 C-m-2 
job-104,1,9,7,5225,5225,5350,0,125,5518,true,L-m-0 L-m-0 L-l-0 L-l-0 L-l-0 L-l-0 L-s-0 
job-109,2,5,3,5476,5476,5506,0,30,5513,true,L-l-0 C-s-1 C-s-1 
job-107,4,8,3,5377,5377,5525,0,148,5571,true,L-s-0 L-m-0 L-m-0 
job-110,5,8,3,5532,5532,5550,0,18,5578,true,L-m-0 C-m-0 C-m-1 
job-108,5,12,2,5425,5425,5618,0,193,5703,true,L-l-0 L-l-0 
job-113,5,7,7,5671,5671,5703,0,32,5707,true,L-l-0 C-m-1 C-m-2 C-l-0 C-l-0 C-l-1 C-l-1 
job-112,3,5,3,5624,5624,5738,0,114,5965,true,C-m-0 L-l-0 L-l-0 
job-114,5,6,2,5727,5727,5774,0,47,5795,true,L-l-0 C-m-1 
job-111,4,4,7,5585,5585,5804,0,219,5884,true,L-s-0 L-m-0 L-m-0 C-s-1 C-s-0 C-s-2 C-m-0 
job-115,5,5,7,5790,5790,5852,0,62,5974,true,L-l-0 L-l-0 C-m-1 C-m-2 C-l-0 C-l-0 C-l-1 
job-116,5,7,2,5835,5835,5952,0,117,6178,true,C-l-1 L-m-0 
job-118,2,10,8,5931,5931,5973,0,42,6083,true,L-m-0 C-l-1 C-s-0 C-s-2 C-m-1 C-m-1 C-m-1 C-m-2 
job-119,1,9,1,5982,5982,6055,0,73,6167,true,C-l-1 
job-120,2,7,3,6023,6023,6128,0,105,6311,true,C-l-1 C-l-1 C-l-1 
job-122,6,8,3,6116,6116,6184,0,68,6313,true,L-m-0 C-m-1 C-m-2 
job-123,3,10,7,6168,6168,6202,0,34,6369,true,C-l-1 C-l-1 C-s-0 C-s-2 C-m-0 C-m-0 C-l-0 
job-117,4,7,6,5883,5883,6206,0,323,6482,true,C-l-1 L-s-0 L-l-0 L-l-0 L-l-0 C-s-1 
job-124,6,12,5,6209,6209,6275,0,66,6434,true,C-l-1 L-l-0 L-l-0 C-m-1 C-m-2 
job-125,2,4,1,6258,6258,6328,0,70,6543,true,L-m-0 
job-127,1,7,8,6360,6360,6378,0,18,6453,true,L-s-0 L-l-0 L-l-0 L-l-0 L-l-0 L-l-0 L-l-0 C-l-1 
job-126,3,4,6,6304,6304,6415,0,111,6671,true,L-m-0 C-l-1 C-l-1 C-l-1 L-s-0 L-l-0 
job-121,1,11,3,6066,6066,6434,0,368,6610,true,C-l-1 L-m-0 L-m-0 
job-128,6,5,4,6409,6409,6527,0,118,6696,true,L-l-0 C-m-1 C-m-2 C-m-0 
job-130,6,9,5,6504,6504,6570,0,66,6593,true,C-l-1 C-l-1 C-l-0 C-l-0 C-l-2 
job-131,2,8,3,6566,6566,6621,0,55,6918,true,L-m-0 L-l-0 L-l-0 
job-132,5,11,8,6619,6619,6695,0,76,6814,true,C-m-1 C-m-2 C-m-0 C-l-1 C-l-1 C-l-0 C-l-0 C-l-2 
job-129,5,10,2,6449,6449,6716,0,267,6764,true,L-l-0 L-m-0 
job-134,6,12,7,6742,6742,6808,0,66,6871,true,L-l-0 C-l-2 L-m-0 C-m-1 C-m-2 C-m-0 C-l-1 
job-133,4,5,6,6683,6683,6837,0,154,7133,true,L-l-0 C-l-2 L-s-0 C-s-1 C-s-0 C-s-2 
job-135,6,11,2,6786,6786,6897,0,111,6962,true,C-l-1 C-l-0 
job-136,4,11,2,6832,6832,6919,0,87,7179,true,L-l-0 L-l-0 
job-137,6,7,3,6877,6877,6931,0,54,7174,true,C-l-1 C-l-0 L-m-0 
job-138,3,7,1,6923,6923,6999,0,76,7054,true,C-l-1 
job-140,6,9,1,7017,7017,7043,0,26,7097,true,C-m-1 
job-139,4,9,8,6967,6967,7067,0,100,7239,true,C-l-1 C-l-1 L-s-0 L-m-0 L-m-0 L-l-0 L-l-0 L-l-0 
job-141,1,6,2,7062,7062,7074,0,12,7185,true,C-l-1 C-l-1 
job-143,2,9,7,7158,7158,7175,0,17,7300,true,L-m-0 L-l-0 C-m-1 L-s-0 C-s-1 C-s-0 C-s-2 
job-142,5,8,4,7113,7113,7182,0,69,7208,true,L-m-0 L-l-0 L-l-0 C-m-1 
job-146,3,5,6,7320,7320,7334,0,14,7444,true,L-l-0 C-s-1 C-s-0 C-s-2 C-m-0 C-m-0 
job-145,6,10,2,7268,7268,7454,0,186,7717,true,C-m-1 C-m-2 
job-144,4,6,5,7211,7211,7497,0,286,7697,true,L-s-0 L-m-0 L-m-0 L-l-0 L-l-0 
job-149,5,8,6,7459,7497,7539,38,42,7669,true,C-l-2 L-m-0 L-l-0 L-l-0 C-m-1 C-m-2 
job-150,6,9,5,7495,7539,7559,44,20,7689,true,C-l-2 L-m-0 L-l-0 L-l-0 C-m-1 
job-147,6,5,2,7370,7370,7591,0,221,7851,true,C-m-0 C-l-1 
job-148,5,4,4,7414,7414,7610,0,196,7635,true,C-l-1 C-l-0 C-l-0 C-l-2 
job-151,1,4,5,7534,7539,7636,5,97,7644,true,L-m-0 L-m-0 C-m-1 C-m-1 C-m-0 
job-152,2,8,8,7590,7590,7636,0,46,7658,true,L-m-0 L-m-0 L-m-0 C-m-1 C-m-1 C-m-1 C-l-0 C-l-2 
job-153,2,6,7,7645,7645,7656,0,11,7858,true,L-s-0 L-s-0 L-m-0 L-m-0 L-m-0 L-m-0 L-l-0 
job-154,1,12,5,7694,7694,7787,0,93,8043,true,L-s-0 L-m-0 L-m-0 L-l-0 L-l-0 
job-156,3,6,1,7783,7783,7802,0,19,7921,true,L-m-0 
job-155,3,10,5,7733,7733,7806,0,73,8066,true,L-l-0 L-l-0 C-s-1 C-s-0 C-s-2 
job-157,5,4,5,7833,7833,7908,0,75,8079,true,L-m-0 L-l-0 L-l-0 C-m-0 C-m-1 
job-158,2,11,4,7893,7893,7937,0,44,8083,true,L-m-0 L-l-0 C-m-0 C-m-1 
job-159,2,5,8,7940,7940,8044,0,104,8240,true,L-s-0 L-s-0 L-m-0 L-m-0 L-m-0 L-m-0 L-l-0 L-l-0 
job-161,4,4,8,8042,8042,8118,0,76,8280,true,C-s-1 C-s-0 C-s-2 C-l-1 C-l-1 C-l-1 C-l-0 C-l-0 
job-162,4,6,7,8088,8088,8120,0,32,8347,true,L-l-0 C-l-0 L-s-0 L-m-0 L-m-0 C-l-2 C-l-2 
job-163,2,11,4,8144,8144,8155,0,11,8425,true,L-l-0 L-l-0 L-l-0 C-m-0 
job-165,4,8,5,8231,8231,8287,0,56,8471,true,L-s-0 L-m-0 L-m-0 C-s-1 C-s-0 
job-166,4,9,1,8286,8286,8325,0,39,8403,true,C-s-2 
job-160,5,6,4,7994,7994,8340,0,346,8369,true,L-l-0 C-m-0 C-m-1 C-m-2 
job-168,1,9,5,8385,8385,8430,0,45,8660,true,L-l-0 C-m-0 C-m-0 L-s-0 L-m-0 
job-164,2,9,4,8187,8187,8482,0,295,8674,true,L-l-0 L-l-0 L-l-0 C-m-0 
job-169,5,11,2,8438,8438,8488,0,50,8733,true,C-m-0 L-m-0 
job-172,6,8,6,8567,8567,8582,0,15,8843,true,L-l-0 C-m-0 C-m-1 C-m-2 C-l-1 C-l-1 
job-167,2,9,1,8340,8340,8610,0,270,8883,true,L-l-0 
job-170,2,12,5,8474,8474,8639,0,165,8828,true,L-m-0 L-l-0 L-s-0 C-s-1 C-s-0 
job-173,2,8,8,8618,8618,8665,0,47,8928,true,L-m-0 L-l-0 L-l-0 L-l-0 L-l-0 C-s-2 C-s-2 C-m-0 
job-174,4,5,6,8658,8658,8726,0,68,8949,true,L-m-0 L-l-0 C-m-0 L-s-0 C-s-1 C-s-0 
job-176,3,5,2,8745,8745,8762,0,17,8782,true,L-m-0 L-l-0 
job-171,1,10,1,8527,8527,8826,0,299,8974,true,L-m-0 
job-177,2,5,6,8790,8790,8886,0,96,9154,true,L-m-0 L-m-0 L-l-0 L-l-0 L-l-0 L-s-0 
job-179,2,7,5,8881,8881,8935,0,54,9086,true,C-s-0 C-s-0 C-s-2 C-s-2 C-m-0 
job-180,4,8,5,8929,8929,8944,0,15,9073,true,L-m-0 L-l-0 C-m-0 C-m-1 C-m-1 
job-178,1,5,6,8837,8837,9002,0,165,9260,true,L-s-0 L-s-0 L-m-0 C-s-1 C-s-1 C-s-1 
job-181,6,11,7,8971,8971,9067,0,96,9115,true,L-l-0 C-m-0 C-m-1 C-m-2 C-l-1 C-l-1 C-l-0 
job-183,5,5,3,9066,9067,9112,1,45,9135,true,L-l-0 C-m-0 C-m-1 
job-175,3,6,3,8702,8702,9166,0,464,9283,true,L-m-0 L-l-0 L-l-0 
job-182,2,7,7,9015,9015,9180,0,165,9312,true,L-m-0 L-m-0 C-m-0 C-m-1 C-m-2 C-l-0 C-l-0 
job-184,6,7,5,9118,9118,9212,0,94,9240,true,L-l-0 C-m-0 C-m-1 C-m-2 C-l-0 
job-185,3,12,8,9174,9174,9242,0,68,9341,true,L-m-0 L-l-0 L-l-0 L-s-0 C-s-1 C-s-0 C-s-2 C-l-1 
job-186,2,11,4,9229,9229,9267,0,38,9332,true,L-m-0 L-l-0 L-l-0 C-l-1 
job-187,6,8,4,9276,9276,9348,0,72,9535,true,L-m-0 L-l-0 L-l-0 C-m-0 
job-191,6,9,4,9465,9465,9475,0,10,9698,true,C-m-1 C-m-2 C-l-1 C-l-1 
job-190,3,10,1,9421,9421,9494,0,73,9672,true,L-l-0 
job-192,2,12,4,9516,9516,9528,0,12,9536,true,L-l-0 C-s-1 C-s-0 C-s-2 
job-189,3,4,8,9370,9370,9541,0,171,9743,true,L-m-0 L-m-0 C-m-0 C-m-0 L-s-0 L-l-0 L-l-0 L-l-0 
job-188,1,12,3,9319,9319,9551,0,232,9612,true,L-m-0 L-m-0 C-m-0 
job-193,4,5,2,9561,9561,9604,0,43,9794,true,L-s-0 L-m-0 
job-194,1,10,4,9605,9605,9700,0,95,9810,true,L-s-0 L-m-0 L-m-0 L-m-0 
job-195,2,7,2,9663,9663,9738,0,75,9890,true,L-l-0 L-l-0 
job-197,5,10,3,9758,9758,9854,0,96,10017,true,L-l-0 C-m-1 C-m-2 
job-199,4,8,5,9851,9851,9934,0,83,10082,true,L-s-0 C-s-1 C-s-0 C-s-2 C-l-1 
job-198,1,12,5,9801,9801,9944,0,143,10012,true,L-m-0 L-m-0 L-l-0 L-l-0 C-m-1 
