id,CPU (cores),Memory (GB),Executor,Arrival Time (T_A),Start Time (T_S),Finish Time (T_F),Waiting Time (T_W),Estimated Finish Time (T_est),Deadline Violation Time (T_D),Deadline Satisfied,Placement List
job-0,1,6,7,68,68,117,0,49,128,true,L-l-0 L-l-0 L-l-0 L-l-0 L-l-0 L-l-0 L-l-0 
job-1,6,7,2,112,112,752,0,640,997,true,C-m-0 L-m-0 
job-2,4,4,6,171,752,785,581,33,437,false,L-m-0 L-s-0 L-l-0 L-l-0 L-m-0 L-l-0 
job-3,4,6,8,228,752,838,524,86,555,false,C-l-2 C-l-2 C-m-0 C-l-0 C-l-2 C-l-0 C-l-0 C-m-0 
job-4,2,7,5,285,752,931,467,179,666,false,C-l-1 C-l-1 C-l-1 C-l-1 C-l-1 
job-5,4,11,8,338,785,1061,447,276,804,false,C-s-0 L-l-0 L-l-0 C-s-1 L-l-0 L-m-0 L-s-0 L-m-0 
job-6,4,4,2,395,1061,1126,666,65,654,false,L-m-0 L-m-0 
job-7,3,10,5,455,1061,1361,606,300,996,false,L-s-0 L-l-0 L-l-0 L-l-0 L-l-0 
job-8,5,5,5,504,1361,1378,857,17,813,false,L-l-0 L-l-0 C-l-0 L-m-0 C-l-0 
job-9,6,8,6,556,1361,1814,805,453,1307,false,C-m-0 C-l-1 C-l-1 C-m-1 C-l-2 C-l-2 
job-11,5,10,2,667,1814,1836,1147,22,938,false,C-m-0 L-m-0 
job-10,6,9,2,614,1814,1860,1200,46,771,false,L-l-0 L-l-0 
job-12,6,7,3,716,1814,2025,1098,211,1174,false,C-l-0 C-l-0 C-m-1 
job-13,3,12,5,780,2025,2060,1245,35,938,false,L-l-0 L-s-0 L-l-0 L-l-0 L-l-0 
job-14,6,4,7,832,2025,2127,1193,102,1037,false,L-m-0 C-l-1 C-l-0 C-l-0 C-l-1 C-l-2 C-l-2 
job-15,5,9,6,877,2127,2249,1250,122,1290,false,L-m-0 C-l-0 C-l-0 C-m-0 L-l-0 L-l-0 
job-17,2,4,7,976,2249,2264,1273,15,1158,false,C-m-0 L-m-0 L-m-0 C-m-0 C-m-0 L-m-0 C-m-0 
job-18,1,7,4,1021,2249,2266,1228,17,1126,false,C-s-1 L-m-0 C-s-1 L-m-0 
job-16,2,5,8,929,2249,2273,1320,24,1230,false,L-l-0 L-s-0 L-l-0 L-l-0 L-l-0 L-s-0 L-l-0 L-l-0 
job-19,5,9,2,1061,2249,2321,1188,72,1395,false,C-l-0 C-l-0 
job-20,1,8,7,1111,2249,2533,1138,284,1606,false,C-l-1 C-l-1 C-l-1 C-l-0 C-l-1 C-l-1 C-l-0 
job-21,3,11,2,1159,2533,2583,1374,50,1450,false,L-m-0 L-m-0 
job-22,4,7,3,1208,2533,2704,1325,171,1423,false,L-l-0 L-l-0 L-l-0 
job-23,2,9,3,1258,2704,2736,1446,32,1570,false,L-m-0 L-m-0 L-m-0 
job-24,5,4,6,1317,2704,2812,1387,108,1442,false,C-l-0 L-l-0 C-l-1 C-l-1 C-l-0 L-l-0 
job-25,1,10,7,1374,2704,2945,1330,241,1903,false,L-s-0 C-l-1 L-l-0 C-l-0 C-l-1 L-l-0 C-l-0 
job-26,3,12,3,1424,2704,3108,1280,404,1843,false,C-m-0 C-m-0 C-s-1 
job-27,1,8,4,1478,3108,3157,1630,49,1643,false,L-m-0 L-m-0 L-m-0 L-m-0 
job-28,4,4,3,1518,3108,3404,1590,296,2008,false,L-l-0 L-l-0 L-l-0 
job-29,2,7,4,1581,3404,3422,1823,18,1609,false,L-m-0 L-m-0 L-m-0 L-m-0 
job-30,4,9,5,1621,3404,3422,1783,18,1685,false,C-s-1 L-s-0 L-l-0 L-l-0 L-l-0 
job-31,6,8,1,1683,3404,3467,1721,63,1790,false,C-m-0 
job-32,4,12,3,1725,3467,3486,1742,19,1998,false,L-m-0 L-m-0 L-s-0 
job-33,5,11,6,1784,3467,3778,1683,311,2152,false,L-l-0 C-l-1 C-l-0 C-l-1 C-l-0 L-l-0 
job-34,6,8,2,1839,3778,3818,1939,40,2103,false,L-l-0 L-l-0 
job-36,2,5,7,1942,3778,3847,1836,69,2020,false,L-m-0 C-l-1 C-l-1 C-l-1 C-l-1 C-l-1 C-l-1 
job-35,3,11,7,1891,3778,3883,1887,105,2059,false,L-s-0 C-l-0 C-l-0 L-m-0 C-l-0 C-l-0 L-m-0 
job-37,5,10,3,1992,3883,3903,1891,20,2264,false,L-l-0 L-l-0 L-m-0 
job-38,2,12,3,2042,3883,3904,1841,21,2311,false,L-s-0 L-l-0 L-m-0 
job-40,1,10,3,2125,3904,3939,1779,35,2264,false,L-m-0 L-m-0 L-s-0 
job-39,1,6,1,2078,3904,4006,1826,102,2403,false,L-s-0 
job-41,1,7,7,2172,3904,4038,1732,134,2332,false,L-l-0 L-l-0 L-m-0 L-l-0 L-l-0 L-l-0 L-l-0 
job-42,5,10,3,2224,3904,4154,1680,250,2486,false,C-l-0 C-m-0 C-l-0 
job-44,6,5,8,2318,4154,4172,1836,18,2500,false,C-l-0 C-l-2 C-l-0 C-l-1 C-l-1 C-l-2 C-m-1 C-m-0 
job-43,4,5,5,2274,4154,4214,1880,60,2453,false,L-m-0 L-l-0 L-l-0 L-l-0 L-m-0 
job-45,2,12,8,2369,4154,4264,1785,110,2595,false,C-s-2 C-m-2 C-s-0 C-s-1 C-m-2 C-m-0 L-s-0 C-m-1 
job-46,5,9,1,2424,4264,4274,1840,10,2648,false,L-m-0 
job-47,6,7,7,2465,4264,4366,1799,102,2624,false,C-m-0 C-l-1 C-l-0 L-l-0 C-l-0 C-l-1 L-l-0 
job-49,6,7,6,2555,4366,4389,1811,23,2800,false,C-m-0 C-l-1 L-m-0 L-l-0 C-l-1 L-l-0 
job-48,1,11,2,2513,4366,4405,1853,39,2571,false,L-m-0 L-m-0 
job-52,5,5,8,2707,4405,4448,1698,43,2915,false,C-m-0 C-l-2 L-l-0 C-l-2 C-l-1 L-l-0 C-l-1 L-m-0 
job-51,1,12,6,2656,4366,4489,1710,123,2959,false,C-l-0 C-m-0 C-m-0 C-l-0 C-l-0 C-l-0 
job-53,5,10,5,2758,4489,4509,1731,20,2932,false,C-l-0 L-l-0 L-l-0 L-m-0 C-l-0 
job-50,4,6,1,2601,4366,4513,1765,147,3034,false,L-s-0 
job-54,6,8,6,2823,4489,4528,1666,39,3059,false,C-m-1 C-l-1 C-l-1 C-m-0 C-l-2 C-l-2 
job-55,6,10,3,2867,4509,4533,1642,24,2937,false,L-l-0 L-l-0 L-m-0 
job-56,4,11,3,2902,4528,4539,1626,11,3133,false,L-s-0 C-m-1 C-m-1 
job-58,3,8,8,2968,4528,4618,1560,90,3100,false,C-l-0 C-l-1 C-l-1 C-l-1 C-l-1 C-l-0 C-l-0 C-l-0 
job-57,2,7,6,2932,4528,4624,1596,96,3067,false,C-l-2 C-l-2 L-m-0 C-l-2 C-l-2 C-l-2 
job-59,6,11,2,3010,4528,4755,1518,227,3446,false,C-m-0 C-m-2 
job-60,6,10,8,3071,4618,4763,1547,145,3355,false,C-m-1 C-l-1 C-l-0 C-l-0 C-l-1 L-l-0 L-l-0 L-m-0 
job-62,5,6,5,3162,4763,4855,1601,92,3438,false,L-m-0 C-m-0 L-l-0 C-m-1 L-l-0 
job-61,2,8,3,3117,4755,4928,1638,173,3432,false,L-s-0 C-m-1 L-m-0 
job-63,5,10,3,3213,4763,5114,1550,351,3841,false,C-l-0 C-m-2 C-l-0 
job-64,3,6,8,3265,5114,5146,1849,32,3368,false,C-s-1 L-l-0 L-s-0 L-l-0 L-l-0 L-l-0 L-m-0 L-m-0 
job-65,5,4,1,3305,5114,5420,1809,306,3866,false,C-m-0 
job-66,3,11,6,3349,5420,5450,2071,30,3648,false,L-m-0 L-l-0 L-l-0 L-l-0 L-m-0 L-l-0 
job-67,3,4,1,3409,5420,5534,2011,114,3791,false,L-s-0 
job-68,2,11,4,3458,5420,5548,1962,128,3749,false,C-l-0 C-l-0 C-l-0 C-l-0 
