job-id,C,M,E,T_A,T_est,T_D
job-0,2,8,7,17,11,42
job-1,3,11,8,37,13,314
job-2,6,12,6,65,59,279
job-3,6,6,6,97,252,367
job-4,6,4,8,115,19,200
job-5,2,9,5,142,118,472
job-6,6,8,2,164,29,243
job-7,4,4,8,184,27,262
job-8,6,11,2,208,30,434
job-9,2,12,4,229,115,539
job-10,4,9,6,253,58,453
job-11,4,4,7,290,10,408
job-12,4,9,3,306,17,523
job-13,4,6,8,334,21,410
job-14,3,4,1,357,42,532
job-15,2,9,6,377,107,683
job-16,2,10,5,402,10,601
job-17,4,10,7,434,251,700
job-18,2,10,1,470,247,827
job-19,5,7,6,490,53,840
job-20,5,8,4,512,11,796
job-21,1,6,6,536,45,791
job-22,6,4,6,554,75,748
job-23,5,9,2,584,57,890
job-24,3,11,4,606,22,661
job-25,4,4,7,636,115,1012
job-26,5,9,5,652,114,956
job-27,6,6,4,674,77,931
job-28,1,5,8,707,58,911
job-29,6,12,5,733,56,977
job-30,5,9,5,761,78,878
job-31,4,6,5,788,12,1096
job-32,3,8,2,807,119,1087
job-33,3,4,7,835,39,1127
job-34,4,5,4,865,170,1126
job-35,4,9,7,892,121,1108
job-36,4,4,8,921,16,1054
job-37,4,7,5,944,132,1171
job-38,5,8,8,965,187,1161
job-39,5,10,6,991,211,1226
job-40,4,11,2,1013,58,1191
job-41,3,10,5,1043,89,1339
job-42,3,7,6,1070,179,1289
job-43,2,7,4,1090,215,1574
job-44,4,4,8,1114,238,1514
job-45,6,7,3,1140,27,1328
job-46,6,9,6,1171,82,1475
job-47,4,4,5,1193,17,1498
job-48,3,12,6,1211,26,1268
job-49,5,9,8,1234,16,1469
job-50,2,12,8,1262,65,1509
job-51,6,4,1,1289,64,1550
job-52,6,5,7,1304,39,1422
job-53,1,4,6,1326,268,1818
job-54,4,11,8,1346,33,1573
job-55,2,9,2,1377,28,1691
job-56,5,8,8,1405,154,1644
job-57,2,9,6,1423,68,1776
job-58,5,5,1,1452,113,1829
job-59,6,9,2,1482,304,2019
job-60,5,9,5,1504,58,1857
job-61,5,7,6,1522,66,1838
job-62,4,4,1,1546,87,1840
job-63,6,11,4,1573,20,1661
job-64,2,8,1,1590,102,1782
job-65,2,9,8,1621,147,2065
job-66,3,7,6,1649,336,2111
job-67,6,7,1,1675,63,1821
job-68,3,4,3,1702,65,1978
job-69,6,8,1,1726,168,2010
job-70,2,9,3,1752,30,1825
job-71,4,6,4,1770,43,2085
job-72,2,10,6,1788,186,2085
job-73,5,12,8,1819,15,1864
job-74,5,12,8,1851,93,2241
job-75,1,5,3,1871,30,2025
job-76,6,4,4,1891,46,2006
job-77,4,11,3,1924,84,2014
job-78,3,12,3,1951,128,2373
job-79,3,5,2,1979,193,2360
job-80,3,11,2,2009,32,2124
job-81,2,8,3,2036,41,2335
job-82,3,6,7,2061,217,2434
job-83,2,11,7,2097,73,2198
job-84,3,12,8,2128,169,2458
job-85,4,6,7,2151,148,2539
job-86,6,5,4,2177,163,2547
job-87,5,9,5,2204,260,2753
job-88,2,5,2,2225,192,2564
job-89,6,6,7,2253,64,2413
job-90,1,8,7,2278,17,2387
job-91,4,11,7,2300,41,2545
job-92,3,8,8,2327,60,2632
job-93,3,4,6,2350,85,2493
job-94,2,12,7,2379,11,2568
job-95,4,12,8,2403,156,2810
job-96,2,11,5,2434,56,2576
job-97,1,5,3,2454,69,2758
job-98,6,8,8,2478,68,2558
job-99,4,10,6,2500,61,2562
job-100,6,12,6,2528,57,2801
job-101,4,10,6,2560,56,2752
job-102,4,11,7,2582,128,2922
job-103,4,9,1,2609,221,2968
job-104,1,11,6,2633,90,2872
job-105,4,11,7,2665,126,2895
job-106,3,8,3,2694,110,3036
job-107,2,8,3,2717,59,3054
job-108,4,11,5,2738,289,3058
job-109,6,4,3,2764,99,3085
job-110,5,10,3,2785,13,2826
job-111,5,11,6,2807,64,3037
job-112,3,4,1,2848,90,3116
job-113,4,12,6,2877,251,3139
job-114,4,12,8,2901,126,3272
job-115,2,7,8,2937,142,3113
job-116,5,8,3,2962,39,3045
job-117,2,5,3,2983,46,3052
job-118,3,11,2,3012,11,3233
job-119,1,12,3,3035,53,3230
job-120,1,9,6,3052,230,3334
job-121,5,8,7,3094,179,3489
job-122,3,4,4,3113,72,3283
job-123,4,5,7,3129,301,3575
job-124,2,11,7,3156,32,3315
job-125,3,7,6,3183,75,3351
job-126,4,11,3,3205,83,3507
job-127,2,11,4,3231,26,3301
job-128,2,8,7,3256,31,3339
job-129,5,12,4,3281,177,3513
job-130,2,4,3,3307,26,3445
job-131,1,8,6,3331,91,3512
job-132,2,7,1,3353,121,3741
job-133,4,11,8,3378,21,3505
job-134,4,10,5,3407,185,3707
job-135,2,11,3,3432,141,3868
job-136,4,10,7,3453,39,3736
job-137,5,10,1,3479,33,3768
job-138,2,10,8,3497,291,4046
job-139,2,11,1,3518,145,3914
job-140,3,6,2,3539,249,4044
job-141,3,12,6,3569,43,3792
job-142,1,7,6,3586,163,4041
job-143,1,7,5,3621,138,3953
job-144,3,11,5,3641,110,3823
job-145,4,11,7,3669,167,3923
job-146,6,4,4,3696,12,3765
job-147,2,12,1,3718,263,4099
job-148,1,8,2,3743,47,3973
job-149,3,9,6,3766,26,3841
job-150,5,10,5,3786,369,4328
job-151,6,6,1,3818,27,4003
job-152,3,10,1,3842,319,4428
job-153,4,9,1,3862,44,3950
job-154,4,7,4,3890,77,4134
job-155,5,10,1,3913,530,4460
job-156,3,12,1,3936,57,4176
job-157,5,4,1,3966,155,4235
job-158,6,7,4,3995,95,4153
job-159,5,12,4,4025,314,4387
job-160,3,7,8,4054,23,4366
job-161,1,12,5,4085,43,4322
job-162,6,5,6,4105,22,4154
job-163,1,6,3,4124,125,4343
job-164,5,6,2,4152,21,4217
job-165,3,12,1,4176,301,4640
job-166,5,8,8,4204,61,4429
job-167,5,8,8,4236,188,4518
job-168,6,11,2,4268,119,4446
job-169,2,10,5,4294,15,4560
job-170,1,4,5,4322,60,4560
job-171,6,11,2,4347,72,4437
job-172,3,11,2,4372,19,4562
job-173,3,6,3,4403,13,4676
job-174,4,6,3,4426,141,4823
job-175,1,4,3,4456,67,4628
