job-id,C,M,E,T_A,T_est,T_D
job-0,1,9,2,41,99,209
job-1,5,11,3,111,25,363
job-2,3,6,8,162,77,538
job-3,6,12,3,201,353,579
job-4,6,7,2,248,109,643
job-5,4,7,6,296,179,561
job-6,5,8,6,350,78,680
job-7,3,4,4,393,104,562
job-8,3,5,6,462,203,783
job-9,3,4,2,504,36,583
job-10,4,6,3,556,13,610
job-11,1,5,8,599,146,844
job-12,2,8,4,651,43,912
job-13,2,4,8,696,16,946
job-14,5,6,2,738,162,1109
job-15,3,10,2,789,177,1152
job-16,1,10,6,848,68,1106
job-17,5,7,7,905,137,1243
job-18,1,12,2,957,13,1062
job-19,3,12,3,994,168,1383
job-20,5,5,5,1043,18,1356
job-21,1,7,2,1086,75,1235
job-22,6,7,6,1152,146,1589
job-23,5,6,7,1215,78,1293
job-24,2,11,1,1265,162,1625
job-25,1,9,1,1306,75,1437
job-26,3,8,3,1350,64,1634
job-27,5,7,6,1405,37,1674
job-28,3,9,2,1442,131,1702
job-29,3,6,2,1488,15,1525
job-30,6,4,4,1541,259,2064
job-31,2,8,5,1584,36,1823
job-32,5,9,6,1628,35,1727
job-33,4,6,5,1694,49,1876
job-34,3,10,4,1736,88,1891
job-35,1,12,8,1797,530,2566
job-36,3,5,3,1853,405,2523
job-37,1,4,1,1898,181,2096
job-38,6,12,5,1950,258,2479
job-39,6,6,4,2009,67,2202
job-40,3,4,2,2058,217,2461
job-41,6,11,7,2095,10,2169
job-42,6,6,3,2150,40,2216
job-43,6,5,7,2200,218,2474
job-44,3,9,5,2244,92,2533
job-45,1,11,8,2309,224,2565
job-46,6,12,6,2350,116,2642
job-47,5,9,7,2394,168,2576
job-48,1,4,4,2440,64,2542
job-49,2,10,3,2499,12,2587
job-50,5,4,7,2558,101,2749
job-51,6,5,2,2603,235,2886
job-52,6,4,8,2651,15,2797
job-53,6,6,7,2688,456,3442
job-54,3,7,7,2737,59,3023
job-55,5,4,7,2786,61,2890
job-56,6,11,6,2839,16,3081
job-57,6,5,7,2893,463,3566
job-58,1,8,8,2942,76,3088
job-59,5,12,3,2986,118,3146
job-60,2,7,5,3037,104,3223
job-61,4,4,6,3093,16,3130
job-62,5,6,1,3144,125,3422
job-63,6,12,8,3199,79,3286
job-64,5,9,1,3249,26,3524
job-65,3,11,7,3300,104,3693
job-66,5,5,3,3348,43,3613
job-67,3,8,4,3399,67,3621
job-68,4,6,5,3457,107,3634
job-69,4,6,7,3513,36,3620
job-70,1,8,4,3561,90,3819
job-71,4,11,4,3602,60,3932
job-72,3,6,4,3650,11,3932
job-73,1,8,4,3712,46,4001
job-74,6,7,1,3769,281,4248
job-75,2,10,4,3818,19,4040
job-76,2,12,2,3879,150,4116
job-77,4,4,2,3925,106,4091
job-78,4,4,5,3982,57,4093
job-79,5,4,1,4027,23,4271
job-80,1,9,7,4074,63,4158
job-81,4,10,2,4128,41,4307
job-82,2,10,7,4196,179,4541
job-83,2,7,6,4262,523,4867
job-84,3,4,2,4303,104,4449
job-85,6,10,4,4358,30,4685
job-86,3,9,1,4407,99,4620
job-87,3,5,1,4449,45,4642
job-88,5,7,2,4496,29,4750
job-89,2,5,8,4547,57,4854
job-90,4,6,5,4590,262,4991
job-91,3,8,7,4653,107,4787
job-92,2,9,8,4698,19,5006
