job-id,C,M,E,T_A,T_est,T_D
job-0,1,6,7,68,49,128
job-1,6,7,2,112,640,997
job-2,4,4,6,171,33,437
job-3,4,6,8,228,86,555
job-4,2,7,5,285,179,666
job-5,4,11,8,338,276,804
job-6,4,4,2,395,65,654
job-7,3,10,5,455,300,996
job-8,5,5,5,504,17,813
job-9,6,8,6,556,453,1307
job-10,6,9,2,614,46,771
job-11,5,10,2,667,22,938
job-12,6,7,3,716,211,1174
job-13,3,12,5,780,35,938
job-14,6,4,7,832,102,1037
job-15,5,9,6,877,122,1290
job-16,2,5,8,929,24,1230
job-17,2,4,7,976,15,1158
job-18,1,7,4,1021,17,1126
job-19,5,9,2,1061,72,1395
job-20,1,8,7,1111,284,1606
job-21,3,11,2,1159,50,1450
job-22,4,7,3,1208,171,1423
job-23,2,9,3,1258,32,1570
job-24,5,4,6,1317,108,1442
job-25,1,10,7,1374,241,1903
job-26,3,12,3,1424,404,1843
job-27,1,8,4,1478,49,1643
job-28,4,4,3,1518,296,2008
job-29,2,7,4,1581,18,1609
job-30,4,9,5,1621,18,1685
job-31,6,8,1,1683,63,1790
job-32,4,12,3,1725,19,1998
job-33,5,11,6,1784,311,2152
job-34,6,8,2,1839,40,2103
job-35,3,11,7,1891,105,2059
job-36,2,5,7,1942,69,2020
job-37,5,10,3,1992,20,2264
job-38,2,12,3,2042,21,2311
job-39,1,6,1,2078,102,2403
job-40,1,10,3,2125,35,2264
job-41,1,7,7,2172,134,2332
job-42,5,10,3,2224,250,2486
job-43,4,5,5,2274,60,2453
job-44,6,5,8,2318,18,2500
job-45,2,12,8,2369,110,2595
job-46,5,9,1,2424,10,2648
job-47,6,7,7,2465,102,2624
job-48,1,11,2,2513,39,2571
job-49,6,7,6,2555,23,2800
job-50,4,6,1,2601,147,3034
job-51,1,12,6,2656,123,2959
job-52,5,5,8,2707,43,2915
job-53,5,10,5,2758,20,2932
job-54,6,8,6,2823,39,3059
job-55,6,10,3,2867,24,2937
job-56,4,11,3,2902,11,3133
job-57,2,7,6,2932,96,3067
job-58,3,8,8,2968,90,3100
job-59,6,11,2,3010,227,3446
job-60,6,10,8,3071,145,3355
job-61,2,8,3,3117,173,3432
job-62,5,6,5,3162,92,3438
job-63,5,10,3,3213,351,3841
job-64,3,6,8,3265,32,3368
job-65,5,4,1,3305,306,3866
job-66,3,11,6,3349,30,3648
job-67,3,4,1,3409,114,3791
job-68,2,11,4,3458,128,3749
job-69,1,11,4,3514,43,3625
job-70,6,7,7,3564,20,3700
job-71,1,6,4,3606,55,3709
job-72,6,8,2,3649,295,4055
job-73,2,8,5,3698,122,4024
job-74,3,7,8,3745,162,4097
job-75,1,12,1,3799,74,4172
job-76,6,4,4,3851,74,4140
job-77,6,8,1,3900,34,3966
job-78,5,9,7,3936,347,4359
job-79,4,5,3,3976,386,4539
job-80,3,11,5,4028,56,4288
job-81,2,9,2,4065,43,4188
job-82,3,8,5,4110,20,4140
job-83,5,5,6,4161,131,4404
job-84,1,5,2,4205,300,4552
job-85,2,11,3,4259,150,4699
job-86,5,10,5,4310,400,4718
job-87,4,11,1,4363,31,4608
job-88,3,7,2,4413,36,4559
job-89,3,11,4,4458,128,4742
job-90,1,9,5,4499,28,4531
job-91,5,7,4,4544,74,4883
job-92,5,10,1,4596,61,4871
job-93,6,12,6,4647,18,4875
job-94,5,4,8,4699,27,4971
job-95,1,6,6,4757,20,4938
job-96,3,7,7,4804,79,4941
job-97,2,12,2,4857,241,5126
job-98,4,10,6,4912,30,4987
job-99,3,12,5,4959,18,5128
job-100,5,9,3,5012,29,5073
job-101,2,10,6,5064,130,5341
job-102,1,10,2,5117,12,5355
job-103,4,8,5,5170,104,5289
job-104,1,9,7,5225,125,5518
job-105,4,6,6,5282,16,5514
job-106,6,10,5,5326,21,5619
job-107,4,8,3,5377,148,5571
job-108,5,12,2,5425,193,5703
job-109,2,5,3,5476,30,5513
job-110,5,8,3,5532,18,5578
job-111,4,4,7,5585,219,5884
job-112,3,5,3,5624,114,5965
job-113,5,7,7,5671,32,5707
job-114,5,6,2,5727,47,5795
job-115,5,5,7,5790,62,5974
job-116,5,7,2,5835,117,6178
job-117,4,7,6,5883,323,6482
job-118,2,10,8,5931,42,6083
job-119,1,9,1,5982,73,6167
job-120,2,7,3,6023,105,6311
job-121,1,11,3,6066,368,6610
job-122,6,8,3,6116,68,6313
job-123,3,10,7,6168,34,6369
job-124,6,12,5,6209,66,6434
job-125,2,4,1,6258,70,6543
job-126,3,4,6,6304,111,6671
job-127,1,7,8,6360,18,6453
job-128,6,5,4,6409,118,6696
job-129,5,10,2,6449,267,6764
job-130,6,9,5,6504,66,6593
job-131,2,8,3,6566,55,6918
job-132,5,11,8,6619,76,6814
job-133,4,5,6,6683,154,7133
job-134,6,12,7,6742,66,6871
job-135,6,11,2,6786,111,6962
job-136,4,11,2,6832,87,7179
job-137,6,7,3,6877,54,7174
job-138,3,7,1,6923,76,7054
job-139,4,9,8,6967,100,7239
job-140,6,9,1,7017,26,7097
job-141,1,6,2,7062,12,7185
job-142,5,8,4,7113,69,7208
job-143,2,9,7,7158,17,7300
job-144,4,6,5,7211,286,7697
job-145,6,10,2,7268,186,7717
job-146,3,5,6,7320,14,7444
job-147,6,5,2,7370,221,7851
