job-id,C,M,E,T_A,T_est,T_D
job-0,6,6,7,39,153,396
job-1,5,8,1,96,54,173
job-2,3,8,8,148,63,307
job-3,3,6,6,200,39,258
job-4,4,8,6,248,14,525
job-5,2,5,1,298,77,386
job-6,5,12,4,355,36,543
job-7,3,6,4,420,175,736
job-8,2,6,7,466,38,716
job-9,3,10,8,519,58,722
job-10,1,9,2,573,31,662
job-11,5,10,1,619,37,873
job-12,5,10,3,663,174,1086
job-13,5,10,8,706,140,1034
job-14,5,11,8,748,32,1014
job-15,5,8,7,812,320,1322
job-16,4,5,5,859,86,946
job-17,6,7,8,901,60,1164
job-18,5,4,1,942,134,1109
job-19,2,10,7,995,325,1485
job-20,3,4,8,1037,94,1322
job-21,6,5,5,1082,80,1182
job-22,6,6,7,1147,18,1370
job-23,2,5,2,1205,51,1333
job-24,6,11,4,1259,209,1733
job-25,3,12,6,1297,43,1414
job-26,5,11,7,1353,285,1758
job-27,3,10,2,1402,20,1519
job-28,4,4,5,1447,14,1673
job-29,5,11,7,1498,442,1950
job-30,5,4,6,1539,39,1723
job-31,3,4,6,1595,39,1754
job-32,4,8,5,1641,53,1987
job-33,6,10,6,1698,106,2048
job-34,2,5,1,1746,56,1847
job-35,6,6,3,1794,1151,3156
job-36,2,4,1,1840,52,2073
job-37,2,7,4,1883,38,2031
job-38,6,8,6,1938,41,1984
job-39,2,9,8,1984,18,2048
job-40,6,7,5,2025,27,2287
job-41,2,12,7,2058,142,2403
job-42,1,10,3,2122,34,2421
job-43,3,11,6,2166,259,2671
job-44,3,5,7,2218,125,2609
job-45,2,8,5,2273,114,2548
job-46,6,5,8,2323,221,2561
job-47,2,6,8,2356,153,2612
job-48,2,7,5,2406,139,2812
job-49,5,11,7,2450,81,2613
job-50,4,7,1,2502,185,2811
job-51,1,7,1,2558,23,2823
job-52,3,9,1,2601,110,2713
job-53,2,9,6,2652,31,2788
job-54,1,5,6,2705,146,2862
job-55,6,8,7,2741,18,2998
job-56,4,4,6,2795,85,3129
job-57,4,6,3,2832,62,3139
job-58,6,8,6,2886,15,3090
job-59,4,8,4,2924,187,3302
job-60,1,8,4,2974,10,3246
job-61,5,4,3,3029,332,3381
job-62,2,10,1,3086,201,3464
job-63,1,7,6,3122,321,3605
job-64,1,7,1,3167,17,3368
job-65,2,8,1,3209,99,3420
job-66,1,7,6,3274,226,3561
job-67,4,8,1,3322,310,3801
job-68,4,10,5,3374,192,3804
job-69,5,6,2,3422,293,3983
job-70,3,6,8,3469,151,3843
job-71,2,8,5,3520,39,3743
job-72,5,7,6,3576,186,3819
job-73,4,11,2,3633,429,4325
job-74,1,5,6,3672,594,4477
job-75,2,9,4,3723,184,3936
job-76,2,9,5,3767,28,3860
job-77,3,12,8,3819,145,4143
job-78,1,11,8,3865,44,3968
job-79,2,7,7,3916,18,4012
job-80,3,11,6,3969,28,4025
job-81,5,11,7,4023,301,4451
job-82,3,6,8,4083,31,4258
job-83,2,12,8,4131,28,4265
job-84,4,10,7,4187,230,4589
job-85,3,9,3,4239,136,4511
job-86,6,7,8,4290,125,4642
job-87,4,11,4,4339,33,4403
job-88,3,9,1,4386,75,4621
job-89,2,12,5,4438,25,4517
job-90,1,5,1,4487,141,4852
job-91,1,10,3,4528,41,4660
job-92,4,6,3,4587,168,4918
job-93,6,11,7,4636,107,4846
job-94,4,6,3,4682,51,4984
job-95,1,7,7,4736,340,5226
job-96,4,7,5,4801,46,4849
job-97,6,8,1,4853,378,5401
job-98,4,7,5,4892,38,5168
job-99,6,8,8,4941,45,5160
job-100,2,10,6,4993,67,5185
job-101,6,5,8,5053,27,5237
job-102,1,8,6,5105,175,5532
job-103,4,12,5,5153,149,5531
job-104,4,4,6,5194,48,5536
job-105,1,10,8,5244,37,5455
job-106,4,7,6,5295,19,5498
job-107,6,7,8,5354,193,5681
job-108,3,10,7,5392,254,5881
job-109,6,8,7,5443,249,5944
